,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Latitude,Longitude
357,Honggang,CN,1619474795,56.53,100,20.33,45,46.4667,124.8667
358,Hasaki,JP,1619474518,46.4,20,4.61,66,35.7333,140.8333
359,Kohima,IN,1619474795,65.82,26,3.18,39,25.6667,94.1167
360,Praia da Vitória,PT,1619474796,61.0,75,7.92,88,38.7333,-27.0667
361,Genç,TR,1619474797,59.14,4,5.48,66,38.7507,40.5603
362,Mildura,AU,1619474797,46.4,91,4.61,81,-34.2,142.15
363,Quthing,LS,1619474797,56.21,99,4.43,36,-30.4,27.7003
364,Watertown,US,1619474637,55.99,1,18.41,28,42.3709,-71.1828
365,Cururupu,BR,1619474797,75.96,97,3.53,89,-1.8283,-44.8683
366,Pskov,RU,1619474798,35.6,90,8.95,93,57.8136,28.3496
367,Baoying,CN,1619474798,58.05,100,2.44,96,33.2292,119.3092
368,Katherine,AU,1619474799,73.4,100,4.61,88,-14.4667,132.2667
369,Valverde del Camino,ES,1619474799,64.0,66,1.99,76,37.5751,-6.7543
370,Grand Gaube,MU,1619474799,77.0,100,8.99,83,-20.0064,57.6608
371,Port Hardy,CA,1619474800,53.6,20,6.91,82,50.6996,-127.4199
372,North Bend,US,1619474800,55.99,90,13.8,71,43.4065,-124.2243
373,Tongren,CN,1619474800,58.6,100,2.35,91,27.7172,109.1853
374,Hervey Bay,AU,1619474800,63.0,18,3.0,87,-25.2986,152.8535
375,Pangnirtung,CA,1619474801,35.6,90,2.3,87,66.1451,-65.7125
376,Kropotkin,RU,1619474801,41.0,78,8.5,97,45.4375,40.5756
377,Yulara,AU,1619474801,55.4,0,9.22,47,-25.2406,130.9889
378,Port Macquarie,AU,1619474802,60.01,3,1.99,86,-31.4333,152.9167
379,Diego de Almagro,CL,1619474802,67.28,0,5.57,43,-26.3667,-70.05
380,Jacareacanga,BR,1619474802,74.39,100,1.54,98,-6.2222,-57.7528
381,Puyang,CN,1619474803,61.66,100,1.9,90,29.4603,119.8861
382,Kuril'sk,RU,1619474803,29.82,7,22.37,62,45.2333,147.8833
383,Hecun,CN,1619474803,57.27,61,2.64,23,36.5333,114.1111
384,Pārsābād,IR,1619474804,60.8,75,4.61,88,39.6482,47.9174
385,Kavaratti,IN,1619474804,83.77,0,7.49,74,10.5669,72.642
386,Loa Janan,ID,1619474804,72.86,75,0.67,99,-0.583,117.095
387,Stonewall,CA,1619474804,46.4,90,3.44,61,50.1344,-97.3268
388,Puerto Escondido,MX,1619474805,86.0,40,6.91,70,15.85,-97.0667
389,Taveta,KE,1619474805,73.4,40,2.17,43,-3.3963,37.6736
390,Noumea,NC,1619474805,75.99,75,11.5,78,-22.2763,166.4572
391,Ayan,RU,1619474806,29.84,100,6.15,87,56.45,138.1667
392,Shelton,US,1619474781,60.8,1,14.97,18,41.3165,-73.0932
393,Kaitangata,NZ,1619474806,46.0,66,13.0,83,-46.2817,169.8464
394,Ţahţā,EG,1619474806,73.4,0,11.5,33,26.7693,31.5021
395,Sovetskiy,RU,1619474807,37.33,95,6.82,83,61.3614,63.5842
396,Kampong Chhnang,KH,1619474807,80.11,100,4.74,78,12.1667,104.55
397,Rincon,US,1619474807,75.99,1,9.22,46,32.296,-81.2354
398,Tazovsky,RU,1619474808,33.66,100,12.28,93,67.4667,78.7
399,Houma,US,1619474808,81.0,1,10.36,57,29.5958,-90.7195
400,Kenai,US,1619474808,57.2,1,10.36,35,60.5544,-151.2583
401,Amberley,US,1619474809,75.2,1,12.66,31,39.2048,-84.428
402,Bagdarin,RU,1619474809,28.13,100,12.68,64,54.4333,113.6
403,Sergach,RU,1619474810,38.61,50,4.25,64,55.5308,45.4661
404,Lubao,PH,1619474810,77.0,75,2.3,78,14.9167,120.55
405,Bentley,GB,1619474810,46.99,90,9.22,70,53.5333,-1.15
406,Hutang,CN,1619474810,57.0,100,1.05,99,31.5333,119.4833
407,Bryan,US,1619474667,81.0,1,14.97,54,30.6744,-96.37
408,Manaure,CO,1619474811,83.1,100,24.34,65,11.7751,-72.4445
409,Ardakān,IR,1619474811,73.4,75,6.91,33,32.31,54.0175
410,Vaitape,PF,1619474811,81.05,92,4.79,67,-16.5167,-151.75
411,Três Passos,BR,1619474812,61.0,0,1.01,78,-27.4556,-53.9319
412,Kungurtug,RU,1619474812,13.66,51,2.37,89,50.5994,97.5228
413,Presidencia Roque Sáenz Peña,AR,1619474812,64.0,0,1.99,69,-26.7852,-60.4388
414,Solnechnyy,RU,1619474813,43.14,79,5.06,54,50.7214,136.6319
415,Carroll,US,1619474813,69.8,1,8.05,17,39.5501,-77.0164
416,Mount Isa,AU,1619474813,75.2,52,6.91,53,-20.7333,139.5
417,Okha,RU,1619474750,30.74,16,12.48,79,53.5739,142.9478
418,Fayaoué,NC,1619474814,75.45,72,24.18,73,-20.65,166.5333
419,Hamilton,US,1619474728,73.99,1,12.66,31,39.1834,-84.5333
420,Santa Cruz de la Sierra,BO,1619474814,73.4,20,4.61,56,-17.8,-63.1667
421,Codrington,AU,1619474815,54.79,67,1.92,79,-38.2667,141.9667
422,Merke,KZ,1619474815,57.2,2,6.82,39,42.8728,73.1786
423,Lompoc,US,1619474816,60.8,1,19.57,44,34.6391,-120.4579
424,Nguru,NG,1619474816,90.84,14,9.15,8,12.8791,10.4526
425,Manuk Mangkaw,PH,1619474816,81.48,100,2.1,74,4.8,119.85
426,Walvis Bay,NA,1619474549,62.01,60,5.75,88,-22.9575,14.5053
427,Saint-Louis,SN,1619474817,91.4,0,4.61,25,16.3333,-15.0
428,Kapoeta,SS,1619474817,70.7,100,3.85,85,4.7717,33.5903
429,Kiryat Gat,IL,1619474817,64.99,62,5.64,100,31.61,34.7642
430,Kruisfontein,ZA,1619474818,62.01,71,3.0,87,-34.0033,24.7314
431,Narsaq,GL,1619474818,37.4,75,5.75,87,60.9167,-46.05
432,Pitimbu,BR,1619474818,77.0,20,9.22,94,-7.4706,-34.8086
433,Portales,US,1619474818,82.0,40,25.32,5,34.1862,-103.3344
434,São José da Coroa Grande,BR,1619474819,78.03,78,8.08,82,-8.8978,-35.1478
435,Alice Springs,AU,1619474819,44.6,0,4.61,65,-23.7,133.8833
436,La Libertad,EC,1619474820,78.8,0,10.36,78,-2.2333,-80.9
437,Salinópolis,BR,1619474820,79.5,99,9.62,81,-0.6136,-47.3561
438,Mehamn,NO,1619474820,31.69,98,14.25,72,71.0357,27.8492
439,Magán,ES,1619474820,59.0,0,10.36,72,39.9683,-3.931
440,Kincardine,GB,1619474821,46.0,20,6.91,93,56.0667,-3.7167
441,Kalāleh,IR,1619474821,66.2,0,4.61,82,37.3807,55.4916
442,Coquimbo,CL,1619474821,60.8,20,9.22,72,-29.9533,-71.3436
443,Garça,BR,1619474822,78.8,0,3.44,57,-22.2106,-49.6561
444,Bima,ID,1619474822,72.07,28,4.16,85,-8.4667,118.7167
445,Pingdu,CN,1619474822,57.2,90,4.47,94,36.7844,119.9464
446,Nouadhibou,MR,1619474823,66.2,0,13.8,88,20.931,-17.0347
447,Halifax,CA,1619474545,51.8,75,17.27,66,44.6453,-63.5724
448,Iranshahr,IR,1619474823,89.6,0,13.8,12,27.2025,60.6848
449,Mosquera,CO,1619474824,62.6,40,9.22,77,4.7059,-74.2302
450,Vallenar,CL,1619474824,72.23,0,5.53,44,-28.5708,-70.7581
451,Griffin,US,1619474824,80.01,1,3.44,38,33.2468,-84.2641
452,Ikongo,MG,1619474825,68.52,98,0.45,99,-21.8833,47.4333
453,Bonavista,CA,1619474825,42.8,100,10.36,61,48.6499,-53.1147
454,Los Llanos de Aridane,ES,1619474825,68.0,90,6.91,77,28.6585,-17.9182
455,Mezen',RU,1619474826,29.73,100,10.22,93,65.8522,44.24
456,Tabou,CI,1619474826,80.64,41,7.99,85,4.423,-7.3528
457,Erzin,TR,1619474826,64.99,30,2.82,87,36.9559,36.2
458,West Bend,US,1619474703,59.0,90,12.66,50,43.4253,-88.1834
459,São Filipe,CV,1619474827,72.3,7,9.6,76,14.8961,-24.4956
460,Kandrian,PG,1619474827,80.37,70,3.06,86,-6.2167,149.55
461,Hazorasp,UZ,1619474828,60.8,0,4.61,36,41.3194,61.0742
462,Yenagoa,NG,1619474828,79.32,33,3.11,88,4.9247,6.2642
463,Colac,AU,1619474828,54.0,60,1.88,99,-38.3333,143.5833
464,Anshun,CN,1619474828,55.42,100,7.63,93,26.25,105.9333
465,Jieshi,CN,1619474829,71.01,100,13.71,85,22.8134,115.8257
466,Marquette,US,1619474829,35.01,100,5.99,89,46.5333,-87.6335
467,Kahului,US,1619474829,82.4,40,14.97,57,20.8947,-156.47
468,Kota Kinabalu,MY,1619474830,77.0,20,5.75,88,5.9749,116.0724
469,Machalí,CL,1619474830,69.8,0,5.75,37,-34.1833,-70.6667
470,Challapata,BO,1619474830,48.61,0,5.37,18,-18.9,-66.7667
471,Jadu,LY,1619474831,79.84,65,20.24,19,31.953,12.0261
472,Half Moon Bay,US,1619474627,62.01,1,11.5,71,37.4636,-122.4286
473,Mahudha,IN,1619474831,89.6,0,8.05,25,22.8167,72.9333
474,Dali,CN,1619474831,55.27,0,4.63,52,25.7,100.1833
475,Pochutla,MX,1619474832,91.0,40,11.5,62,15.7432,-96.4661
476,Escanaba,US,1619474832,35.6,90,21.85,93,45.7453,-87.0646
477,Roswell,US,1619474754,79.0,1,10.36,43,34.0232,-84.3616
478,Macenta,GN,1619474832,69.67,99,1.88,96,8.5435,-9.471
479,Sibu,MY,1619474832,77.0,40,1.28,94,2.3,111.8167
480,Sotnikovo,RU,1619474833,35.6,75,17.9,69,51.8845,107.4791
481,Beringovskiy,RU,1619474833,32.47,90,4.79,92,63.05,179.3167
482,Belmonte,BR,1619474833,77.0,20,8.05,73,-15.8631,-38.8828
483,Pimentel,PE,1619474834,69.8,0,20.71,73,-6.8367,-79.9342
484,Ahtopol,BG,1619474834,46.4,0,8.05,87,42.1,27.95
485,Keetmanshoop,NA,1619474834,66.2,58,10.36,48,-26.5833,18.1333
486,Punta Cardon,VE,1619474834,80.69,83,27.0,71,11.6581,-70.215
487,Assiut,EG,1619474835,69.8,0,8.05,52,27.181,31.1837
488,Oussouye,SN,1619474836,77.0,0,6.91,83,12.485,-16.5469
489,Liwale,TZ,1619474836,68.2,72,2.53,98,-9.7667,37.9333
490,Tommot,RU,1619474836,34.72,100,3.4,97,58.9564,126.2925
491,Weligama,LK,1619474836,78.12,99,1.81,86,5.9667,80.4167
492,Danville,US,1619474837,75.99,1,3.44,25,36.586,-79.395
493,Coyhaique,CL,1619474837,51.8,75,6.91,87,-45.5752,-72.0662
494,Arequipa,PE,1619474837,68.0,0,11.5,26,-16.3989,-71.535
495,Eskişehir,TR,1619474838,39.2,0,5.75,87,39.7767,30.5206
496,Thinadhoo,MV,1619474733,81.91,26,4.05,65,0.5333,72.9333
497,Taltal,CL,1619474838,64.63,7,5.48,77,-25.4,-70.4833
498,Kilindoni,TZ,1619474839,79.0,96,10.42,85,-7.9139,39.6668
499,Barão de Melgaço,BR,1619474839,77.0,75,4.61,73,-16.1944,-55.9675
500,Pevek,RU,1619474839,21.47,99,4.54,90,69.7008,170.3133
501,Collie,AU,1619474839,55.0,100,0.96,88,-33.3667,116.15
502,Natalio,PY,1619474840,58.62,0,2.77,70,-26.7167,-55.0833
503,Quelimane,MZ,1619474840,78.8,20,4.61,89,-17.8786,36.8883
504,Zyryanka,RU,1619474840,19.74,7,14.45,80,65.75,150.85
505,Yabrūd,SY,1619474841,55.4,0,17.27,76,33.9674,36.6574
506,Kulhudhuffushi,MV,1619474841,84.0,13,5.79,71,6.6221,73.07
507,Emba,KZ,1619474842,60.01,99,10.74,38,48.8264,58.1442
508,Iberia,US,1619474842,80.6,1,11.5,50,29.9502,-91.7507
509,Ponta Delgada,PT,1619474600,60.8,75,9.22,77,37.7333,-25.6667
510,Zeya,RU,1619474842,48.25,100,9.95,67,53.75,127.2667
511,Sayyan,YE,1619474843,59.79,100,1.7,58,15.1718,44.3244
512,Torbay,CA,1619474600,41.0,90,21.85,65,47.6666,-52.7314
513,Hearst,CA,1619474843,48.2,95,10.36,25,49.6835,-83.6665
514,Berezovyy,RU,1619474844,45.52,100,3.42,54,51.6667,135.7
515,Jinxiang,CN,1619474844,62.76,100,4.7,78,27.4327,120.6062
516,Berdychiv,UA,1619474844,34.34,95,6.67,81,49.8993,28.6024
517,Ahipara,NZ,1619474845,63.45,21,10.13,70,-35.1667,173.1667
518,Goba,ET,1619474845,51.42,100,2.3,91,7.0167,39.9833
519,Hudiksvall,SE,1619474845,31.95,78,1.86,69,61.729,17.1036
520,Atyrau,KZ,1619474846,51.8,75,11.18,87,47.1167,51.8833
521,Miracema do Tocantins,BR,1619474847,76.68,99,4.14,87,-9.5618,-48.3967
522,Bandarbeyla,SO,1619474847,82.89,85,5.44,73,9.4942,50.8122
523,Cravo Norte,CO,1619474848,91.22,99,2.84,43,6.3017,-70.2041
524,Trelew,AR,1619474848,67.41,13,6.29,30,-43.249,-65.3051
525,Beyneu,KZ,1619474849,73.0,5,6.71,36,45.3167,55.2
526,Dabakala,CI,1619474849,74.52,75,0.36,84,8.3667,-4.4333
527,Kalianget,ID,1619474849,80.46,45,11.05,79,-7.05,113.9333
528,Cervo,ES,1619474850,54.0,99,4.85,89,43.6702,-7.4101
529,Festus,US,1619474850,79.0,99,5.99,45,38.2206,-90.396
530,Fujin,CN,1619474850,46.56,100,13.76,60,47.26,132.0322
531,Ust'-Omchug,RU,1619474850,12.4,91,3.36,90,61.15,149.6333
532,Rome,US,1619474851,46.99,1,17.27,36,43.2128,-75.4557
533,Bathsheba,BB,1619474851,82.4,40,16.11,57,13.2167,-59.5167
534,Ilulissat,GL,1619474852,48.2,75,17.27,46,69.2167,-51.1
535,Moose Factory,CA,1619474852,53.6,20,9.22,24,51.2585,-80.6094
536,Kuopio,FI,1619474566,33.8,90,3.44,80,62.8924,27.677
537,Eidsvåg,NO,1619474852,37.4,100,6.91,70,62.7767,8.0668
538,Kitami,JP,1619474852,32.0,10,5.01,78,43.8031,143.8908
539,Traverse City,US,1619474853,44.6,90,11.5,61,44.7631,-85.6206
540,San Cristobal,VE,1619474663,84.2,40,11.5,65,7.7669,-72.225
541,Muisne,EC,1619474853,77.72,100,6.11,86,0.6,-80.0333
542,Ubari,LY,1619474854,85.3,78,9.48,23,26.5921,12.7805
543,Prince Rupert,CA,1619474854,53.6,1,4.61,62,54.3161,-130.3201
544,Monte Alegre,BR,1619474566,77.25,86,3.71,89,-2.0078,-54.0692
545,Burnie,AU,1619474854,52.0,8,8.99,73,-41.0667,145.9167
546,Soe,ID,1619474855,58.87,32,3.4,69,-9.8607,124.284
547,Bariloche,AR,1619474855,62.6,0,11.5,23,-41.1456,-71.3082
548,Saint-Pierre,RE,1619474855,77.0,75,9.22,73,-21.3393,55.4781
549,Areal,BR,1619474856,68.0,41,4.74,80,-22.2306,-43.1056
550,Krasnoborsk,RU,1619474856,39.04,100,4.18,94,61.5598,45.934
551,Pundaguitan,PH,1619474856,80.17,100,5.3,77,6.3711,126.1689
552,Pedernales,DO,1619474857,79.0,24,4.56,75,18.0384,-71.744
553,Ucluelet,CA,1619474778,55.99,75,5.75,82,48.9329,-125.5528
554,São Francisco,BR,1619474857,81.27,94,2.26,45,-15.9486,-44.8644
555,Avera,US,1619474857,78.8,1,5.5,36,33.194,-82.5271
556,Kortkeros,RU,1619474858,33.8,0,4.47,86,61.8106,51.5806
557,Laas,IT,1619474858,54.0,90,5.75,100,46.6166,10.7002
558,Okhotsk,RU,1619474858,22.93,92,2.84,77,59.3833,143.3
559,Sabang,ID,1619474858,82.27,90,7.18,75,5.8933,95.3214
560,Ferrol,ES,1619474859,55.99,70,7.0,89,43.4832,-8.2369
561,Unaí,BR,1619474859,77.92,70,1.43,57,-16.3575,-46.9061
562,Bose,IT,1619474859,52.0,100,2.8,93,45.4612,8.0137
563,Barentu,ER,1619474860,81.12,100,10.8,41,15.1139,37.5928
564,Kanniyākumāri,IN,1619474860,82.78,25,10.02,78,8.0833,77.5667
565,Innisfail,AU,1619474860,73.04,100,10.22,85,-17.5333,146.0333
566,Banda Aceh,ID,1619474861,79.7,86,2.17,80,5.5577,95.3222
567,Sangar,RU,1619474861,22.17,100,10.47,94,63.9242,127.4739
568,Nanlong,CN,1619474861,61.88,100,2.04,82,31.3533,106.0631
569,Jalu,LY,1619474862,68.97,4,5.17,31,29.0331,21.5482
570,At-Bashi,KG,1619474772,42.67,18,5.57,46,41.1702,75.8106
571,Casablanca,MA,1619474817,68.0,40,9.22,82,33.5928,-7.6192
572,Hūn,LY,1619474862,73.29,9,12.06,21,29.1268,15.9477
573,Camocim,BR,1619474862,79.7,64,11.99,82,-2.9022,-40.8411
574,Pauini,BR,1619474863,74.89,95,1.43,93,-7.7136,-66.9764
575,Moineşti,RO,1619474863,43.0,75,3.98,75,46.4667,26.4833
576,Saiha,IN,1619474863,67.19,4,3.2,58,22.4833,92.9667
577,Wolgast,DE,1619474863,34.0,0,3.4,71,54.05,13.7667
578,Zyryanovsk,KZ,1619474864,38.66,100,3.56,72,49.7386,84.2719
579,Junín,AR,1619474864,62.01,2,1.68,21,-34.5838,-60.9433
580,Kumul,CN,1619474864,46.99,4,8.23,17,42.8,93.45
581,Januária,BR,1619474865,80.35,87,2.37,51,-15.4833,-44.3667
582,San Bartolomé de Tirajana,ES,1619474865,68.0,40,10.36,68,27.9248,-15.5733
583,Póvoa de Varzim,PT,1619474866,60.01,20,3.44,94,41.3834,-8.7636
584,Skiathos,GR,1619474866,55.0,55,4.0,55,39.1623,23.4909
585,Tari,NG,1619474867,91.54,68,3.58,23,12.4086,4.4914
586,Ipixuna,BR,1619474867,80.6,20,6.91,83,-1.7625,-48.8043
587,Comodoro Rivadavia,AR,1619474571,68.0,0,24.16,34,-45.8667,-67.5
588,Piro,IN,1619474867,81.1,15,6.89,12,25.3333,84.4167
589,Vilhena,BR,1619474867,75.2,75,9.22,83,-12.7406,-60.1458
590,Hergla,TN,1619474868,66.0,0,11.5,82,36.0303,10.509
591,Sibolga,ID,1619474868,77.59,97,2.86,86,1.7427,98.7792
592,North Platte,US,1619474824,87.8,1,5.75,16,41.1239,-100.7654
593,Vao,NC,1619474774,73.63,67,20.51,65,-22.6667,167.4833
594,Sioux Lookout,CA,1619474868,37.4,90,6.91,75,50.1001,-91.917
